time,data
2020-01-22,548
2020-01-23,643
2020-01-24,920
2020-01-25,1406
2020-01-26,2075
2020-01-27,2877
2020-01-28,5509
2020-01-29,6087
2020-01-30,8141
2020-01-31,9802
2020-02-01,11891
2020-02-02,16630
2020-02-03,19716
2020-02-04,23707
2020-02-05,27440
2020-02-06,30587
2020-02-07,34110
2020-02-08,36814
2020-02-09,39829
2020-02-10,42354
2020-02-11,44386
2020-02-12,44759
2020-02-13,59895
2020-02-14,66358
2020-02-15,68413
2020-02-16,70513
2020-02-17,72434
2020-02-18,74211
2020-02-19,74619
2020-02-20,75077
2020-02-21,75550
2020-02-22,77001
2020-02-23,77022
2020-02-24,77241
2020-02-25,77754
2020-02-26,78166
2020-02-27,78600
2020-02-28,78928
2020-02-29,79356
2020-03-01,79932
2020-03-02,80136
2020-03-03,80261
2020-03-04,80386
2020-03-05,80537
2020-03-06,80690
2020-03-07,80770
2020-03-08,80823
2020-03-09,80860
2020-03-10,80887
2020-03-11,80921
2020-03-12,80932
2020-03-13,80945
2020-03-14,80977
2020-03-15,81003
2020-03-16,81033
2020-03-17,81058
2020-03-18,81102
2020-03-19,81156
2020-03-20,81250
2020-03-21,81305
2020-03-22,81435
2020-03-23,81498
2020-03-24,81591
2020-03-25,81661
2020-03-26,81782
2020-03-27,81897
2020-03-28,81999
2020-03-29,82122
2020-03-30,82198
2020-03-31,82279
2020-04-01,82361
2020-04-02,82432
2020-04-03,82511
2020-04-04,82543
2020-04-05,82602
2020-04-06,82665
2020-04-07,82718
2020-04-08,82809
2020-04-09,82883
2020-04-10,82941
2020-04-11,83014
2020-04-12,83134
2020-04-13,83213
2020-04-14,83306
2020-04-15,83356
2020-04-16,83403
2020-04-17,83760
2020-04-18,83787
2020-04-19,83805
2020-04-20,83817
2020-04-21,83853
2020-04-22,83868
2020-04-23,83884
2020-04-24,83899
2020-04-25,83909
2020-04-26,83912
2020-04-27,83918
2020-04-28,83940
2020-04-29,83944
2020-04-30,83956
2020-05-01,83959
2020-05-02,83959
2020-05-03,83964
2020-05-04,83966
2020-05-05,83968
2020-05-06,83970
2020-05-07,83975
2020-05-08,83976
2020-05-09,83990
2020-05-10,84010
2020-05-11,84011
2020-05-12,84018
2020-05-13,84024
2020-05-14,84029
2020-05-15,84038
2020-05-16,84044
2020-05-17,84054
2020-05-18,84063
2020-05-19,84063
2020-05-20,84063
2020-05-21,84063
2020-05-22,84081
2020-05-23,84084
2020-05-24,84095
2020-05-25,84102
2020-05-26,84103
2020-05-27,84106
2020-05-28,84106
2020-05-29,84123
2020-05-30,84128
2020-05-31,84146
2020-06-01,84154
2020-06-02,84161
2020-06-03,84160
2020-06-04,84171
2020-06-05,84177
2020-06-06,84186
2020-06-07,84191
2020-06-08,84195
2020-06-09,84198
2020-06-10,84209
2020-06-11,84216
2020-06-12,84228
2020-06-13,84286
2020-06-14,84335
2020-06-15,84378
2020-06-16,84422
2020-06-17,84458
2020-06-18,84494
2020-06-19,84494
2020-06-20,84553
2020-06-21,84572
2020-06-22,84624
2020-06-23,84653
2020-06-24,84673
2020-06-25,84701
2020-06-26,84725
2020-06-27,84743
2020-06-28,84757
2020-06-29,84780
2020-06-30,84785
2020-07-01,84816
2020-07-02,84830
2020-07-03,84838
2020-07-04,84857
2020-07-05,84871
2020-07-06,84889
2020-07-07,84917
2020-07-08,84950
2020-07-09,84992
2020-07-10,84992
2020-07-11,85071
2020-07-12,85117
2020-07-13,85117
2020-07-14,85226
2020-07-15,85246
2020-07-16,85327
2020-07-17,85402
2020-07-18,85418
2020-07-19,85503
2020-07-20,85622
2020-07-21,85708
2020-07-22,85906
2020-07-23,86045
2020-07-24,86202
2020-07-25,86381
2020-07-26,86570
2020-07-27,86783
2020-07-28,86990
2020-07-29,87213
2020-07-30,87489
2020-07-31,87655
2020-08-01,87827
2020-08-02,87985
2020-08-03,88099
2020-08-04,88206
2020-08-05,88328
2020-08-06,88460
2020-08-07,88580
2020-08-08,88672
2020-08-09,88793
2020-08-10,88906
2020-08-11,88958
2020-08-12,89045
2020-08-13,89144
2020-08-14,89214
2020-08-15,89279
2020-08-16,89375
2020-08-17,89441
2020-08-18,89494
2020-08-19,89527
2020-08-20,89567
2020-08-21,89616
2020-08-22,89654
2020-08-23,89695
2020-08-24,89718
2020-08-25,89752
2020-08-26,89784
2020-08-27,89814
2020-08-28,89836
2020-08-29,89863
2020-08-30,89895
2020-08-31,89914
2020-09-01,89933
2020-09-02,89953
2020-09-03,89986
2020-09-04,90008
2020-09-05,90025
2020-09-06,90058
2020-09-07,90078
2020-09-08,90087
2020-09-09,90100
2020-09-10,90127
2020-09-11,90145
2020-09-12,90168
2020-09-13,90197
2020-09-14,90219
2020-09-15,90235
2020-09-16,90253
2020-09-17,90294
2020-09-18,90311
2020-09-19,90334
2020-09-20,90369
2020-09-21,90381
2020-09-22,90399
2020-09-23,90409
2020-09-24,90424
2020-09-25,90441
2020-09-26,90456
2020-09-27,90483
2020-09-28,90505
2020-09-29,90528
2020-09-30,90545
2020-10-01,90567
2020-10-02,90584
2020-10-03,90604
2020-10-04,90629
2020-10-05,90652
2020-10-06,90667
2020-10-07,90687
2020-10-08,90728
2020-10-09,90751
2020-10-10,90778
2020-10-11,90812
2020-10-12,90830
2020-10-13,90858
2020-10-14,90869
2020-10-15,90905
2020-10-16,90925
2020-10-17,90955
2020-10-18,90972
2020-10-19,91006
2020-10-20,91022
2020-10-21,91044
2020-10-22,91073
2020-10-23,91108
2020-10-24,91128
2020-10-25,91151
2020-10-26,91175
2020-10-27,91222
2020-10-28,91271
2020-10-29,91299
2020-10-30,91339
2020-10-31,91366
2020-11-01,91397
2020-11-02,91452
2020-11-03,91478
2020-11-04,91509
2020-11-05,91552
2020-11-06,91591
2020-11-07,91622
2020-11-08,91665
2020-11-09,91693
2020-11-10,91719
2020-11-11,91752
2020-11-12,91783
2020-11-13,91807
2020-11-14,91828
2020-11-15,91850
2020-11-16,91872
2020-11-17,91885
2020-11-18,91906
2020-11-19,91935
2020-11-20,91977
2020-11-21,92037
2020-11-22,92116
2020-11-23,92211
2020-11-24,92296
2020-11-25,92402
2020-11-26,92488
2020-11-27,92586
2020-11-28,92681
2020-11-29,92814
2020-11-30,92902
2020-12-01,92993
2020-12-02,93113
2020-12-03,93221
2020-12-04,93348
2020-12-05,93467
2020-12-06,93577
2020-12-07,93670
2020-12-08,93782
2020-12-09,93898
2020-12-10,94025
2020-12-11,94124
2020-12-12,94217
2020-12-13,94328
2020-12-14,94427
2020-12-15,94537
2020-12-16,94626
2020-12-17,94734
2020-12-18,94821
2020-12-19,94953
2020-12-20,95050
2020-12-21,95150
2020-12-22,95228
2020-12-23,95298
2020-12-24,95383
2020-12-25,95460
2020-12-26,95541
2020-12-27,95632
2020-12-28,95720
2020-12-29,95797
2020-12-30,95876
2020-12-31,95963
2021-01-01,96023
2021-01-02,96086
2021-01-03,96160
2021-01-04,96246
2021-01-05,96310
2021-01-06,96398
2021-01-07,96484
2021-01-08,96562
2021-01-09,96690
2021-01-10,96824
2021-01-11,96920
2021-01-12,97095
2021-01-13,97275
2021-01-14,97448
2021-01-15,97616
2021-01-16,97775
2021-01-17,97939
2021-01-18,98164
2021-01-19,98323
2021-01-20,98544
2021-01-21,98786
2021-01-22,98886
2021-01-23,99047
2021-01-24,99247
2021-01-25,99402
2021-01-26,99541
2021-01-27,99655
2021-01-28,99746
2021-01-29,99848
2021-01-30,99968
2021-01-31,100063
2021-02-01,100127
2021-02-02,100177
2021-02-03,100226
2021-02-04,100268
2021-02-05,100318
2021-02-06,100348
2021-02-07,100389
2021-02-08,100435
2021-02-09,100475
2021-02-10,100494
2021-02-11,100527
2021-02-12,100559
2021-02-13,100578
2021-02-14,100599
2021-02-15,100624
2021-02-16,100639
2021-02-17,100666
2021-02-18,100684
2021-02-19,100705
2021-02-20,100727
2021-02-21,100758
2021-02-22,100784
2021-02-23,100808
2021-02-24,100832
2021-02-25,100851
2021-02-26,100885
2021-02-27,100924
2021-02-28,100965
2021-03-01,100990
2021-03-02,101013
2021-03-03,101037
2021-03-04,101055
2021-03-05,101076
2021-03-06,101097
2021-03-07,101132
2021-03-08,101149
2021-03-09,101175
2021-03-10,101194
2021-03-11,101225
2021-03-12,101292
2021-03-13,101349
2021-03-14,101378
2021-03-15,101421
2021-03-16,101443
2021-03-17,101460
2021-03-18,101481
2021-03-19,101498
2021-03-20,101518
2021-03-21,101533
2021-03-22,101560
2021-03-23,101582
2021-03-24,101603
2021-03-25,101623
2021-03-26,101646
2021-03-27,101663
2021-03-28,101676
2021-03-29,101692
2021-03-30,101710
2021-03-31,101732
2021-04-01,101754
2021-04-02,101799
2021-04-03,101821
2021-04-04,101861
2021-04-05,101901
2021-04-06,101920
2021-04-07,101953
2021-04-08,101984
2021-04-09,102012
2021-04-10,102027
2021-04-11,102056
2021-04-12,102078
2021-04-13,102103
2021-04-14,102118
2021-04-15,102135
2021-04-16,102167
2021-04-17,102201
2021-04-18,102242
2021-04-19,102264
2021-04-20,102293
2021-04-21,102300
2021-04-22,102333
2021-04-23,102351
2021-04-24,102367
2021-04-25,102384
2021-04-26,102399
2021-04-27,102419
2021-04-28,102446
2021-04-29,102474
2021-04-30,102494
2021-05-01,102517
2021-05-02,102530
2021-05-03,102549
2021-05-04,102560
2021-05-05,102571
2021-05-06,102586
2021-05-07,102596
2021-05-08,102613
2021-05-09,102625
2021-05-10,102643
2021-05-11,102660
2021-05-12,102671
2021-05-13,102681
2021-05-14,102696
2021-05-15,102717
2021-05-16,102746
2021-05-17,102769
2021-05-18,102784
2021-05-19,102797
2021-05-20,102822
2021-05-21,102833
2021-05-22,102853
2021-05-23,102873
2021-05-24,102890
2021-05-25,102905
2021-05-26,102925
2021-05-27,102932
2021-05-28,102948
2021-05-29,102960
2021-05-30,102987
2021-05-31,103014
2021-06-01,103045
2021-06-02,103069
2021-06-03,103094
2021-06-04,103119
2021-06-05,103150
2021-06-06,103176
2021-06-07,103216
